1  ,00 08.3,+29 06,,2.1,STAR B8.5p IV:(Hg+Mn),Alpha And, 8 ST,Alpheratz,
2  ,00 09.2,+59 10,,2.3,STAR F2 III-IV,Beta Gas, 8 ST,Caph,
3  ,00 13.2,+15 12,,2.8,STAR B2 IV,Gamma Peg, 8 ST,Algenib,
4  ,00 25.7,-77 15,,2.8,STAR G1 IV,Beta Hyi, 8 ST,,
5  ,00 26.3,-42 18,,2.4,STAR K0 IIIb,Alpha Phe, 8 ST,Ankaa,
6  ,00 39.4,+30 52,,3.3,STAR K3 III,Delta And A, 8 ST,,
7  ,00 40.5,+56 33,,2.2,STAR K0 IIIa,Alpha Gas, 8 ST,Shedir,
8  ,00 43.6,-17 59,,2.0,STAR 69.5 III,Beta Get, 8 ST,Diphda,
9  ,00 56.7,+60 43,20 ,2.5,STAR B0 IVnpe(shell) + ?,Gamma Gas, 9 ST,Marj,B=8.8
10 ,01 06.1,-46 43,10 ,3.3,STAR 68 Ill,Beta Phe AB, 9 ST,,B=Similar mag & spectrum
11 ,01 09.8,+35 37,,2.1,STAR Mo Illa,Beta And, 8 ST,Mirach,
12 ,01 25.8,+60 15,,2.7,STAR A5 IV,Delta Gas, 8 ST,Ruchbah ,EcI-Bin @759d
13 ,01 37.7,-57 14,,0.5,STAR B3 Vnp (shell),Alpha Eri, 8 ST,Achemar,
14 ,01 54.7,+20 49,,2.6,STAR A5 V,Beta Ari, 8 ST,Sharatan,
15 ,01 58.7,-61 34,,2.9,STAR A9 III-IVn,Alpha Hyi, 8 ST,,
16 ,02 04.0,+42 21,100 ,2.3,STAR K3 llb + B9 V + A0 V,Gamma And A, 9 ST,Almaak ,B=5.4 C=6.2
17 ,02 07.2,+23 28,, 2.0,STAR K2 Illab,Alpha Ari, 8 ST,Hamal,
18 ,02 09.5,+34 59,, 3.0,STAR A5 IV,Beta Tri, 8 ST,,
19 ,02 14.7,+89 17,180 , 2.0,STAR F5-8 lb + F3 V,Alpha UMi A, 9 ST,Polaris ,B=8.2
20 ,02 19.4,-02 58,10 , 2.1,STAR M5.5-9 Ille + Bpe,Omicron Get A, 9 ST,Mira ,B=9.5
